event,stadium,city,event_date,olympic,name,country,born,gender,place,age
100 metres,"Stockholm Olympic Stadium, Stockholm","Stockholm, Sweden",1912-07-07,1912 Stockholm Summer Games,Donald Lippincott,USA,1893-11-16,Male,3,18.649315068493152
100 metres,"White City Stadium, London","London, Great Britain",1908-07-22,1908 London Summer Games,Reggie Walker,RSA,1889-03-16,Male,1,19.361643835616437
100 metres,"Francis Field, Washington University, St. Louis","St. Louis, United States",1904-09-03,1904 St. Louis Summer Games,Bill Hogenson,USA,1884-10-26,Male,3,19.865753424657534
100 metres,"Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-16,1920 Antwerpen Summer Games,Charley Paddock,USA,1900-08-11,Male,1,20.027397260273972
100 metres,"Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-07-30,1928 Amsterdam Summer Games,Percy Williams,CAN,1908-05-19,Male,1,20.21095890410959
100 metres,"Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-03,1936 Berlin Summer Games,Tinus Osendarp,NED,1916-05-21,Male,3,20.216438356164385
100 metres,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-04,1984 Los Angeles Summer Games,Sam Graddy,USA,1964-02-12,Male,2,20.49041095890411
100 metres,"Olympic Stadium, Roma","Roma, Italy",1960-09-01,1960 Roma Summer Games,Peter Radford,GBR,1939-09-20,Male,3,20.964383561643835
100 metres,"Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-24,1956 Melbourne Summer Games,Bobby Joe Morrow,USA,1935-10-15,Male,1,21.126027397260273
100 metres,"Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-21,1952 Helsinki Summer Games,Lindy Remigino,USA,1931-06-03,Male,1,21.147945205479452
100 metres,"Panathenaic Stadium, Athina","Athina, Greece",1896-04-10,1896 Athina Summer Games,Tom Burke,USA,1875-01-15,Male,1,21.24931506849315
100 metres,"Panathenaic Stadium, Athina","Athina, Greece",1896-04-10,1896 Athina Summer Games,Frank Lane,USA,1874-09-23,Male,3,21.561643835616437
100 metres,"Francis Field, Washington University, St. Louis","St. Louis, United States",1904-09-03,1904 St. Louis Summer Games,Nate Cartmell,USA,1883-01-13,Male,2,21.65205479452055
100 metres,"National Stadium, Shinjuku, Tokyo","Tokyo, Japan",1964-10-15,1964 Tokyo Summer Games,Bob Hayes,USA,1942-12-20,Male,1,21.835616438356166
100 metres,"Catalan Cross, Boulogne Forest, Paris","Paris, France",1900-07-14,1900 Paris Summer Games,Frank Jarvis,USA,1878-08-31,Male,1,21.882191780821916
100 metres,"Beijing National Stadium, Beijing","Beijing, China",2008-08-16,2008 Beijing Summer Games,Usain Bolt,JAM,1986-08-21,Male,1,22.002739726027396
100 metres,"University Olympic Stadium, Ciudad de México","Ciudad de México, Mexico",1968-10-14,1968 Ciudad de México Summer Games,Lennox Miller,JAM,1946-10-08,Male,2,22.03287671232877
100 metres,"University Olympic Stadium, Ciudad de México","Ciudad de México, Mexico",1968-10-14,1968 Ciudad de México Summer Games,Jim Hines,USA,1946-09-10,Male,1,22.10958904109589
100 metres,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1932-08-01,1932 Los Angeles Summer Games,Ralph Metcalfe,USA,1910-05-29,Male,2,22.19178082191781
100 metres,"Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-16,1920 Antwerpen Summer Games,Harry Edward,GBR,1898-04-15,Male,3,22.350684931506848
100 metres,"Olympic Stadium, Athens Olympic Sports Complex Spiros Loues, Maroussi","Athina, Greece",2004-08-22,2004 Athina Summer Games,Justin Gatlin,USA,1982-02-10,Male,1,22.545205479452054
100 metres,"Beijing National Stadium, Beijing","Beijing, China",2008-08-16,2008 Beijing Summer Games,Walter Dix,USA,1986-01-31,Male,3,22.556164383561644
100 metres,"Centennial Olympic Stadium, Atlanta, Georgia","Atlanta, United States",1996-07-27,1996 Atlanta Summer Games,Ato Boldon,TTO,1973-12-30,Male,3,22.589041095890412
100 metres,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-04,1984 Los Angeles Summer Games,Ben Johnson,CAN,1961-12-30,Male,3,22.610958904109587
100 metres,"Olympic Stadium, Olympic Park, Stratford, London","London, Great Britain",2012-08-05,2012 London Summer Games,Yohan Blake,JAM,1989-12-26,Male,2,22.624657534246577
100 metres,"Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-01,1972 München Summer Games,Valeriy Borzov,URS,1949-10-20,Male,1,22.882191780821916
100 metres,"Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-03,1936 Berlin Summer Games,Jesse Owens,USA,1913-09-12,Male,1,22.90684931506849
100 metres,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1932-08-01,1932 Los Angeles Summer Games,Arthur Jonath,GER,1909-09-09,Male,3,22.90958904109589
100 metres,"Stockholm Olympic Stadium, Stockholm","Stockholm, Sweden",1912-07-07,1912 Stockholm Summer Games,Ralph Craig,USA,1889-06-21,Male,1,23.057534246575344
100 metres,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-04,1984 Los Angeles Summer Games,Carl Lewis,USA,1961-07-01,Male,1,23.10958904109589
100 metres,"Panathenaic Stadium, Athina","Athina, Greece",1906-04-27,1906 Athina Summer Games,Nigel Barker,AUS,1883-02-26,Male,3,23.17808219178082
100 metres,"Beijing National Stadium, Beijing","Beijing, China",2008-08-16,2008 Beijing Summer Games,Richard Thompson,TTO,1985-06-07,Male,2,23.208219178082192
100 metres,"Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-07-30,1928 Amsterdam Summer Games,Georg Lammers,GER,1905-04-14,Male,3,23.30958904109589
